"e-folds N","cal(P)_zeta k=7.34e+03","cal(P)_zeta k=8.05e+06","max u_ij k=7.34e+03","max u_ij k=8.05e+06","max u_ijk k_t=22026.5","max u_ijk k_t=2.4155e+07","H"
1.7359999999999999e+01,8.4395464919544976e-11,3.2160660811098370e-05,8.1712668992116051e+01,6.2557264673787076e+05,1.6728182192831908e+05,1.7255364129362226e+05,8.6618165658759012e-06
1.7416000000000000e+01,8.1345410881752763e-11,2.8635389888739146e-05,8.1967172387104767e+01,5.6045962915567739e+05,1.6783538290790067e+05,1.7206852673538731e+05,8.6528384119774897e-06
1.7472000000000001e+01,7.8622211175218398e-11,2.5496145214474679e-05,8.2223375223801767e+01,5.0212915648572915e+05,1.6837333855812007e+05,1.7172409903708624e+05,8.6438326642527064e-06
1.7527999999999999e+01,7.6190607504542297e-11,2.2700697443800903e-05,8.2480610641482869e+01,4.4987430818504124e+05,1.6889543415445328e+05,1.7149909289801584e+05,8.6347991252500822e-06
1.7584000000000000e+01,7.4019168391512343e-11,2.0211354983356817e-05,8.2738272516661567e+01,4.0306188365354674e+05,1.6940141582655325e+05,1.7137489801866189e+05,8.6257375952972429e-06
1.7640000000000001e+01,7.2079871730009297e-11,1.7994708479130845e-05,8.2995809068930285e+01,3.6112471056884044e+05,1.6989103064971310e+05,1.7133523687273721e+05,8.6166478724667870e-06
1.7696000000000002e+01,7.0347733127318449e-11,1.6020915382093922e-05,8.3252717135991134e+01,3.2355475612271513e+05,1.7036402673855962e+05,1.7136588057297195e+05,8.6075297525415053e-06
1.7751999999999999e+01,6.8800474945716719e-11,1.4263348549898703e-05,8.3508537045832796e+01,2.8989695731044980e+05,1.7082015334208004e+05,1.7145439841684717e+05,8.5983830289789308e-06
1.7808000000000000e+01,6.7418231528940583e-11,1.2698381973321462e-05,8.3762848025352795e+01,2.5974369518398482e+05,1.7125916094066217e+05,1.7158993720353494e+05,8.5892074928751667e-06
1.7864000000000001e+01,6.6183286622246998e-11,1.1304922177974866e-05,8.4015264088384271e+01,2.3272984582482584e+05,1.7168080134471558e+05,1.7176302685899247e+05,8.5800029329280322e-06
1.7920000000000002e+01,6.5079839453033665e-11,1.0064184666593593e-05,8.4265430353244511e+01,2.0852834781722337e+05,1.7208482779495185e+05,1.7196540930301163e+05,8.5707691353994511e-06
1.7975999999999999e+01,6.4093796332892339e-11,8.9594705755377330e-06,8.4513019745462856e+01,1.8684623229287972e+05,1.7247099506452426e+05,1.7218988784364599e+05,8.5615058840771044e-06
1.8032000000000000e+01,6.3212584987953465e-11,7.9758711231744859e-06,8.4757730045271629e+01,1.6742106725161255e+05,1.7283905956292845e+05,1.7243019469591571e+05,8.5522129602353164e-06
1.8088000000000001e+01,6.2424989137470936e-11,7.1001268627478389e-06,8.4999281243017734e+01,1.5001777290701558e+05,1.7318877944133143e+05,1.7268087449788189e+05,8.5428901425951491e-06
